name,code,city,country,region,latitude,longitude
Houari Boumediene Airport,ALG,Algiers,Algeria,Northern Africa,36.691,3.2155
Rabah Bitat Airport,AAE,Annaba,Algeria,Northern Africa,0.0,0.0
Batna Airport,BLJ,Batna,Algeria,Northern Africa,0.0,0.0
Soummam Airport,BJA,Béjaïa,Algeria,Northern Africa,0.0,0.0
Chlef International Airport,CFK,Chlef,Algeria,Northern Africa,0.0,0.0
Mohamed Boudiaf International Airport,CZL,Constantine,Algeria,Northern Africa,0.0,0.0
Jijel Ferhat Abbas Airport,GJL,Jijel,Algeria,Northern Africa,0.0,0.0
Oran Es Senia Airport,ORN,Oran,Algeria,Northern Africa,0.0,0.0
Biskra Airport,BSK,Oumache,Algeria,Northern Africa,0.0,0.0
Ain Arnat Airport,QSF,Sétif,Algeria,Northern Africa,0.0,0.0
Zenata – Messali El Hadj Airport,TLM,Tlemcen,Algeria,Northern Africa,0.0,0.0
Borg El Arab International Airport,HBE,Alexandria,Egypt,Northern Africa,0.0,0.0
Assiut Airport,ATZ,Asyut,Egypt,Northern Africa,0.0,0.0
Aswan International Airport,ASW,Aswan,Egypt,Northern Africa,0.0,0.0
Cairo International Airport,CAI,Cairo,Egypt,Northern Africa,30.1219,31.4056
El Arish International Airport,AAC,El Arish,Egypt,Northern Africa,0.0,0.0
El Alamein International Airport,DBB,El Dabaa,Egypt,Northern Africa,0.0,0.0
Hurghada International Airport,HRG,Hurghada,Egypt,Northern Africa,0.0,0.0
Luxor International Airport,LXR,Luxor,Egypt,Northern Africa,0.0,0.0
Marsa Alam International Airport,RMF,Marsa Alam,Egypt,Northern Africa,0.0,0.0
Mersa Matruh International Airport,MUH,Mersa Matruh,Egypt,Northern Africa,0.0,0.0
St. Catherine International Airport,SKV,Saint Catherine,Egypt,Northern Africa,0.0,0.0
Sharm El Sheikh International Airport,SSH,Sharm El Sheikh,Egypt,Northern Africa,0.0,0.0
Sohag International Airport,HMB,Sohag,Egypt,Northern Africa,0.0,0.0
Taba International Airport,TCP,Taba,Egypt,Northern Africa,0.0,0.0
Benina International Airport,BEN,Benghazi,Libya,Northern Africa,0.0,0.0
Sabha Airport,SEB,Sabha,Libya,Northern Africa,0.0,0.0
Tripoli International Airport,TIP,Tripoli,Libya,Northern Africa,0.0,0.0
Mitiga International Airport,MJI,Tajoura,Libya,Northern Africa,0.0,0.0
Agadir–Al Massira Airport,AGA,Agadir,Morocco,Northern Africa,0.0,0.0
Beni Mellal Airport,BEM,Beni Mellal,Morocco,Northern Africa,0.0,0.0
Mohammed V International Airport,CMN,Casablanca,Morocco,Northern Africa,33.3675,-7.5898
Fès–Saïs Airport,FEZ,Fes,Morocco,Northern Africa,0.0,0.0
Marrakesh Menara Airport,RAK,Marrakesh,Morocco,Northern Africa,0.0,0.0
Nador International Airport,NDR,Nador,Morocco,Northern Africa,0.0,0.0
Ouarzazate Airport,OZZ,Ouarzazate,Morocco,Northern Africa,0.0,0.0
Angads Airport,OUD,Oujda,Morocco,Northern Africa,0.0,0.0
Rabat–Salé Airport,RBA,Rabat,Morocco,Northern Africa,0.0,0.0
Tangier Ibn Battouta Airport,TNG,Tangier,Morocco,Northern Africa,0.0,0.0
Sania Ramel Airport,TTU,Tetouan,Morocco,Northern Africa,0.0,0.0
Dakhla Airport,VIL,Dakhla,Morocco,Northern Africa,0.0,0.0
Hassan I Airport,EUN,Laayoune,Morocco,Northern Africa,0.0,0.0
Khartoum International Airport,KRT,Khartoum,Sudan,Northern Africa,0.0,0.0
Port Sudan New International Airport,PZU,Port Sudan,Sudan,Northern Africa,0.0,0.0
Djerba–Zarzis International Airport,DJE,Djerba,Tunisia,Northern Africa,0.0,0.0
Enfidha–Hammamet International Airport,NBE,Enfidha,Tunisia,Northern Africa,0.0,0.0
Monastir Habib Bourguiba International Airport,MIR,Monastir,Tunisia,Northern Africa,0.0,0.0
Sfax–Thyna International Airport,SFA,Sfax,Tunisia,Northern Africa,0.0,0.0
Tabarka–Aïn Draham International Airport,TBJ,Tabarka,Tunisia,Northern Africa,0.0,0.0
Tozeur–Nefta International Airport,TOE,Tozeur,Tunisia,Northern Africa,0.0,0.0
Tunis–Carthage International Airport,TUN,Tunis,Tunisia,Northern Africa,36.851,10.2272
Cadjehoun Airport,COO,Cotonou,Benin,Western Africa,0.0,0.0
Bobo Dioulasso Airport,BOY,Bobo-Dioulasso,Burkina Faso,Western Africa,0.0,0.0
Thomas Sankara International Airport Ouagadougou,OUA,Ouagadougou,Burkina Faso,Western Africa,0.0,0.0
Aristides Pereira International Airport,BVC,Boa Vista,Cape Verde,Western Africa,0.0,0.0
Amílcar Cabral International Airport,SID,Sal Island,Cape Verde,Western Africa,0.0,0.0
Nelson Mandela International Airport,RAI,"Praia, Santiago Island",Cape Verde,Western Africa,0.0,0.0
Cesária Évora Airport,VXE,São Vicente,Cape Verde,Western Africa,0.0,0.0
Banjul International Airport,BJL,Banjul,The Gambia,Western Africa,0.0,0.0
Kotoka International Airport,ACC,Accra,Ghana,Western Africa,5.6052,-0.1668
Kumasi International Airport,KMS,Kumasi,Ghana,Western Africa,0.0,0.0
Takoradi Airport,TKD,Takoradi,Ghana,Western Africa,0.0,0.0
Sunyani Airport,NYI,Sunyani,Ghana,Western Africa,0.0,0.0
Ho Airport,HZO,Ho,Ghana,Western Africa,0.0,0.0
Wa Airport,WZA,Wa,Ghana,Western Africa,0.0,0.0
Tamale Airport,TML,Tamale,Ghana,Western Africa,0.0,0.0
Conakry International Airport,CKY,Conakry,Guinea,Western Africa,0.0,0.0
Osvaldo Vieira International Airport,OXB,Bissau,Guinea-Bissau,Western Africa,0.0,0.0
Félix-Houphouët-Boigny International Airport,ABJ,Abidjan,Ivory Coast,Western Africa,0.0,0.0
Roberts International Airport,ROB,Monrovia,Liberia,Western Africa,0.0,0.0
Modibo Keita International Airport,BKO,Bamako,Mali,Western Africa,0.0,0.0
Nouakchott–Oumtounsy International Airport,NKC,Nouakchott,Mauritania,Western Africa,0.0,0.0
Nouadhibou International Airport,NDB,Nouadhibou,Mauritania,Western Africa,0.0,0.0
Atar International Airport,ATR,Atar,Mauritania,Western Africa,0.0,0.0
Diori Hamani International Airport,NIM,Niamey,Niger,Western Africa,0.0,0.0
Nnamdi Azikiwe International Airport,ABV,Abuja,Nigeria,Western Africa,9.0067,7.2632
Margaret Ekpo International Airport,CBQ,Calabar,Nigeria,Western Africa,0.0,0.0
Asaba International Airport,ABB,"Asaba, Delta",Nigeria,Western Africa,0.0,0.0
Mallam Aminu Kano International Airport,KAN,Kano,Nigeria,Western Africa,0.0,0.0
Murtala Muhammed International Airport,LOS,Lagos,Nigeria,Western Africa,6.5774,3.3212
Port Harcourt International Airport,PHC,Port Harcourt,Nigeria,Western Africa,0.0,0.0
Akanu Ibiam International Airport,ENU,Enugu,Nigeria,Western Africa,0.0,0.0
Sadiq Abubakar III International Airport,SKO,Sokoto,Nigeria,Western Africa,0.0,0.0
Saint Helena Airport,HLE,Saint Helena,"Saint Helena, Ascension and Tristan da Cunha",Western Africa,0.0,0.0
Blaise Diagne International Airport,DSS,Dakar,Senegal,Western Africa,0.0,0.0
Lungi International Airport,FNA,Freetown,Sierra Leone,Western Africa,0.0,0.0
Lomé–Tokoin International Airport,LFW,Lomé,Togo,Western Africa,0.0,0.0
Quatro de Fevereiro Airport,LAD,Luanda,Angola,Central Africa,0.0,0.0
Lubango Airport,SDD,Lubango,Angola,Central Africa,0.0,0.0
Douala International Airport,DLA,Douala,Cameroon,Central Africa,0.0,0.0
Yaoundé Nsimalen International Airport,NSI,Yaoundé,Cameroon,Central Africa,0.0,0.0
Bangui M'Poko International Airport,BGF,Bangui,Central African Republic,Central Africa,0.0,0.0
N'Djamena International Airport,NDJ,N'Djamena,Chad,Central Africa,0.0,0.0
Goma International Airport,GOM,Goma,Democratic Republic of the Congo,Central Africa,0.0,0.0
N'djili Airport,FIH,Kinshasa,Democratic Republic of the Congo,Central Africa,0.0,0.0
Kisangani Bangoka International Airport,FKI,Kisangani,Democratic Republic of the Congo,Central Africa,0.0,0.0
Lubumbashi International Airport,FBM,Lubumbashi,Democratic Republic of the Congo,Central Africa,0.0,0.0
Malabo International Airport,SSG,Malabo,Equatorial Guinea,Central Africa,0.0,0.0
M'Vengue El Hadj Omar Bongo Ondimba International Airport,MVB,Franceville,Gabon,Central Africa,0.0,0.0
Léon-Mba International Airport,LBV,Libreville,Gabon,Central Africa,0.0,0.0
Port-Gentil International Airport,POG,Port-Gentil,Gabon,Central Africa,0.0,0.0
Maya-Maya Airport,BZV,Brazzaville,Republic of the Congo,Central Africa,0.0,0.0
Agostinho-Neto International Airport,PNR,Pointe-Noire,Republic of the Congo,Central Africa,0.0,0.0
São Tomé International Airport,TMS,São Tomé,São Tomé and Príncipe,Central Africa,0.0,0.0
Sir Seretse Khama International Airport,GBE,Gaborone,Botswana,Southern Africa,0.0,0.0
Maun Airport,MUB,Maun,Botswana,Southern Africa,0.0,0.0
Francistown International Airport,FRW,Francistown,Botswana,Southern Africa,0.0,0.0
Kasane Airport,BBK,Kasane,Botswana,Southern Africa,0.0,0.0
King Mswati III International Airport,SHO,Manzini,Eswatini,Southern Africa,0.0,0.0
Moshoeshoe I International Airport,MSU,Maseru,Lesotho,Southern Africa,0.0,0.0
Hosea Kutako International Airport,WDH,Windhoek,Namibia,Southern Africa,0.0,0.0
Walvis Bay Airport,WVB,Walvis Bay,Namibia,Southern Africa,0.0,0.0
Bram Fischer International Airport,BFN,Bloemfontein,Namibia,South Africa,0.0,0.0
Cape Town International Airport,CPT,Cape Town,Namibia,South Africa,-33.9649,18.6017
King Shaka International Airport,DUR,Durban,Namibia,South Africa,0.0,0.0
East London Airport,ELS,East London,Namibia,South Africa,0.0,0.0
O. R. Tambo International Airport,JNB,Johannesburg,Namibia,South Africa,-26.1392,28.246
Kruger Mpumalanga International Airport,MQP,Nelspruit,Namibia,South Africa,0.0,0.0
Polokwane International Airport,PTG,Polokwane,Namibia,South Africa,0.0,0.0
Bujumbura International Airport,BJM,Bujumbura,Burundi,Eastern Africa,0.0,0.0
Prince Said Ibrahim International Airport,HAH,Moroni,Comoros,Eastern Africa,0.0,0.0
Djibouti–Ambouli International Airport,JIB,Djibouti,Djibouti,Eastern Africa,0.0,0.0
Asmara International Airport,ASM,Asmara,Eritrea,Eastern Africa,0.0,0.0
Addis Ababa Bole International Airport,ADD,Addis Ababa,Ethiopia,Eastern Africa,8.9806,38.7992
Dire Dawa Airport,DIR,Dire Dawa,Ethiopia,Eastern Africa,0.0,0.0
Eldoret International Airport,EDL,Eldoret,Kenya,Eastern Africa,0.0,0.0
Moi International Airport,MBA,Mombasa,Kenya,Eastern Africa,0.0,0.0
Kisumu International Airport,KIS,Kisumu,Kenya,Eastern Africa,0.0,0.0
Jomo Kenyatta International Airport,NBO,Nairobi,Kenya,Eastern Africa,-1.3192,36.9278
Ivato International Airport,TNR,Antananarivo,Madagascar,Eastern Africa,0.0,0.0
Arrachart Airport,DIE,Antsiranana,Madagascar,Eastern Africa,0.0,0.0
Amborovy Airport,MJN,Mahajanga,Madagascar,Eastern Africa,0.0,0.0
Fascene Airport,NOS,Nosy Be,Madagascar,Eastern Africa,0.0,0.0
Toamasina Airport,TMM,Toamasina,Madagascar,Eastern Africa,0.0,0.0
Tôlanaro Airport,FTU,Tôlanaro,Madagascar,Eastern Africa,0.0,0.0
Toliara Airport,TLE,Toliara,Madagascar,Eastern Africa,0.0,0.0
Chileka International Airport,BLZ,Blantyre,Malawi,Eastern Africa,0.0,0.0
Lilongwe International Airport,LLW,Lilongwe,Malawi,Eastern Africa,0.0,0.0
Sir Seewoosagur Ramgoolam International Airport,MRU,Plaine Magnien,Mauritius,Eastern Africa,0.0,0.0
Dzaoudzi–Pamandzi International Airport,DZA,Dzaoudzi,Mayotte,Eastern Africa,0.0,0.0
Maputo International Airport,MPM,Maputo,Mozambique,Eastern Africa,0.0,0.0
Beira Airport,BEW,Beira,Mozambique,Eastern Africa,0.0,0.0
Inhambane Airport,INH,Inhambane,Mozambique,Eastern Africa,0.0,0.0
Nampula Airport,APL,Nampula,Mozambique,Eastern Africa,0.0,0.0
Pemba Airport,POL,Pemba,Mozambique,Eastern Africa,0.0,0.0
Chingozi Airport,TET,Tete,Mozambique,Eastern Africa,0.0,0.0
Vilankulo Airport,VNX,Vilankulo,Mozambique,Eastern Africa,0.0,0.0
Roland Garros Airport,RUN,Saint-Denis,Réunion,Eastern Africa,0.0,0.0
Kigali International Airport,KGL,Kigali,Rwanda,Eastern Africa,0.0,0.0
Seychelles International Airport,SEZ,Victoria,Seychelles,Eastern Africa,0.0,0.0
Bosaso Airport,BSA,Bosaso,Somalia,Eastern Africa,0.0,0.0
Abdullahi Yusuf Airport,GLK,Galkayo,Somalia,Eastern Africa,0.0,0.0
Garowe Airport,GGR,Garowe,Somalia,Eastern Africa,0.0,0.0
Hargeisa Airport,HGA,Hargeisa,Somalia,Eastern Africa,0.0,0.0
Kismayo Airport,KMU,Kismayo,Somalia,Eastern Africa,0.0,0.0
Aden Adde International Airport,MGQ,Mogadishu,Somalia,Eastern Africa,0.0,0.0
Juba International Airport,JUB,Juba,South Sudan,Eastern Africa,0.0,0.0
Malakal Airport,MAK,Malakal,South Sudan,Eastern Africa,0.0,0.0
Arusha Airport,ARK,Arusha,Tanzania,Eastern Africa,0.0,0.0
Julius Nyerere International Airport,DAR,Dar es Salaam,Tanzania,Eastern Africa,0.0,0.0
Kilimanjaro International Airport,JRO,Hai District,Tanzania,Eastern Africa,0.0,0.0
Mwanza Airport,MWZ,Mwanza,Tanzania,Eastern Africa,0.0,0.0
Tanga Airport,TGT,Tanga,Tanzania,Eastern Africa,0.0,0.0
Abeid Amani Karume International Airport,ZNZ,"Unguja, Zanzibar",Tanzania,Eastern Africa,0.0,0.0
Arua Airport,RUA,Arua,Uganda,Eastern Africa,0.0,0.0
Entebbe International Airport,EBB,Entebbe,Uganda,Eastern Africa,0.0,0.0
Gulu Airport,ULU,Gulu,Uganda,Eastern Africa,0.0,0.0
Harry Mwanga Nkumbula International Airport,LVI,Livingstone,Zambia,Eastern Africa,0.0,0.0
Kenneth Kaunda International Airport,LUN,Lusaka,Zambia,Eastern Africa,0.0,0.0
Mfuwe Airport,MFU,Mfuwe,Zambia,Eastern Africa,0.0,0.0
Simon Mwansa Kapwepwe International Airport,NLA,Ndola,Zambia,Eastern Africa,0.0,0.0
Robert Gabriel Mugabe International Airport,HRE,Harare,Zimbabwe,Eastern Africa,0.0,0.0
Victoria Falls Airport,VFA,Victoria Falls,Zimbabwe,Eastern Africa,0.0,0.0
Joshua Mqabuko Nkomo International Airport,BUQ,Bulawayo,Zimbabwe,Eastern Africa,0.0,0.0
Clayton J. Lloyd International Airport,AXA,The Valley,Anguilla,Eastern Africa,0.0,0.0
V. C. Bird International Airport,ANU,St. John’s,Antigua and Barbuda,Eastern Africa,0.0,0.0
Queen Beatrix International Airport,AUA,Oranjestad,Aruba,Eastern Africa,0.0,0.0
Lynden Pindling International Airport,NAS,Nassau,The Bahamas,Eastern Africa,0.0,0.0
Chub Cay International Airport,CCZ,Chub Cay,The Bahamas,Eastern Africa,0.0,0.0
Exuma International Airport,GGT,Exuma,The Bahamas,Eastern Africa,0.0,0.0
Grand Bahama International Airport,FPO,Freeport,The Bahamas,Eastern Africa,0.0,0.0
North Eleuthera Airport,ELH,North Eleuthera,The Bahamas,Eastern Africa,0.0,0.0
Rock Sound International Airport,RSD,South Eleuthera,The Bahamas,Eastern Africa,0.0,0.0
Grantley Adams International Airport,BGI,Bridgetown,Barbados,Eastern Africa,0.0,0.0
Terrance B. Lettsome International Airport,EIS,Road Town,British Virgin Islands,Eastern Africa,0.0,0.0
Flamingo International Airport,BON,"Kralendijk, Bonaire",Caribbean Netherlands,Eastern Africa,0.0,0.0
F. D. Roosevelt Airport,EUX,"Oranjestad, Sint Eustatius",Caribbean Netherlands,Eastern Africa,0.0,0.0
Juancho E. Yrausquin Airport,SAB,"Flat Point, Saba",Caribbean Netherlands,Eastern Africa,0.0,0.0
Charles Kirkconnell International Airport,CYB,Cayman Brac,Cayman Islands,Eastern Africa,0.0,0.0
Owen Roberts International Airport,GCM,Georgetown,Cayman Islands,Eastern Africa,0.0,0.0
Ignacio Agramonte International Airport,CMW,Camagüey,Cuba,Eastern Africa,0.0,0.0
Jardines del Rey Airport,CCC,Cayo Coco,Cuba,Eastern Africa,0.0,0.0
Vilo Acuña Airport,CYO,Cayo Largo del Sur,Cuba,Eastern Africa,0.0,0.0
Jaime González Airport,CFG,Cienfuegos,Cuba,Eastern Africa,0.0,0.0
José Martí International Airport,HAV,Havana,Cuba,Eastern Africa,0.0,0.0
Frank País Airport,HOG,Holguín,Cuba,Eastern Africa,0.0,0.0
Abel Santamaría Airport,SNU,Santa Clara,Cuba,Eastern Africa,0.0,0.0
Antonio Maceo Airport,SCU,Santiago de Cuba,Cuba,Eastern Africa,0.0,0.0
Juan Gualberto Gómez Airport,VRA,Varadero,Cuba,Eastern Africa,0.0,0.0
Curaçao International Airport,CUR,Willemstad,Curaçao,Eastern Africa,0.0,0.0
Douglas–Charles Airport,DOM,Marigot,Dominica,Eastern Africa,0.0,0.0
María Montez International Airport,BRX,Barahona,Dominican Republic,Eastern Africa,0.0,0.0
La Romana International Airport,LRM,La Romana,Dominican Republic,Eastern Africa,0.0,0.0
Punta Cana International Airport,PUJ,Punta Cana,Dominican Republic,Eastern Africa,0.0,0.0
Samaná El Catey International Airport,AZS,Samana,Dominican Republic,Eastern Africa,0.0,0.0
Gregorio Luperón International Airport,POP,San Felipe de Puerto Plata,Dominican Republic,Eastern Africa,0.0,0.0
Cibao International Airport,STI,Santiago de los Caballeros,Dominican Republic,Eastern Africa,0.0,0.0
Las Américas International Airport,SDQ,Santo Domingo,Dominican Republic,Eastern Africa,0.0,0.0
Maurice Bishop International Airport,GND,St George’s,Grenada,Eastern Africa,0.0,0.0
Pointe-à-Pitre International Airport,PTP,Pointe-à-Pitre,Guadeloupe,Eastern Africa,0.0,0.0
Cap-Haïtien International Airport,CAP,Cap-Haïtien,Haiti,Eastern Africa,0.0,0.0
Toussaint Louverture International Airport,PAP,Port-au-Prince,Haiti,Eastern Africa,0.0,0.0
Norman Manley International Airport,KIN,Kingston,Jamaica,Eastern Africa,0.0,0.0
Sangster International Airport,MBJ,Montego Bay,Jamaica,Eastern Africa,0.0,0.0
Martinique Aimé Césaire International Airport,FDF,Fort-de-France,Martinique,Eastern Africa,0.0,0.0
John A. Osborne Airport,MNI,Brades,Montserrat,Eastern Africa,0.0,0.0
Rafael Hernández International Airport,BQN,Aguadilla,Main article: List of airports in Puerto Rico,Eastern Africa,0.0,0.0
Mercedita International Airport,PSE,Ponce,Main article: List of airports in Puerto Rico,Eastern Africa,0.0,0.0
Fernando Luis Ribas Dominicci Airport,SIG,San Juan,Main article: List of airports in Puerto Rico,Eastern Africa,0.0,0.0
Gustaf III Airport,SBH,Saint Jean,Saint Barthélemy,Eastern Africa,0.0,0.0
Robert L. Bradshaw International Airport,SKB,Basseterre,Saint Kitts and Nevis,Eastern Africa,0.0,0.0
Hewanorra International Airport,UVF,Vieux Fort Quarter,Saint Lucia,Eastern Africa,0.0,0.0
Argyle International Airport,SVD,Kingstown,Saint Vincent and the Grenadines,Eastern Africa,0.0,0.0
Canouan Airport,CIW,Canouan,Saint Vincent and the Grenadines,Eastern Africa,0.0,0.0
Princess Juliana International Airport,SXM,Philipsburg,Sint Maarten,Eastern Africa,0.0,0.0
Piarco International Airport,POS,Port of Spain,Trinidad and Tobago,Eastern Africa,0.0,0.0
A.N.R. Robinson International Airport,TAB,Tobago,Trinidad and Tobago,Eastern Africa,0.0,0.0
Providenciales Airport,PLS,Blue Hills,Turks and Caicos Islands,Eastern Africa,0.0,0.0
Cyril E. King Airport,STT,Charlotte Amalie,U.S. Virgin Islands,Eastern Africa,0.0,0.0
Henry E. Rohlsen Airport,STX,Christiansted,U.S. Virgin Islands,Eastern Africa,0.0,0.0
Philip S. W. Goldson International Airport,BZE,Belize City,Belize,Central America,0.0,0.0
Daniel Oduber Quirós International Airport,LIR,Liberia,Costa Rica,Central America,0.0,0.0
Juan Santamaría International Airport,SJO,San José,Costa Rica,Central America,0.0,0.0
El Salvador International Airport,SAL,San Salvador,El Salvador,Central America,0.0,0.0
Mundo Maya International Airport,FRS,Flores,Guatemala,Central America,0.0,0.0
La Aurora International Airport,GUA,Guatemala City,Guatemala,Central America,0.0,0.0
Golosón International Airport,LCE,La Ceiba,Honduras,Central America,0.0,0.0
Juan Manuel Gálvez International Airport,RTB,Roatán,Honduras,Central America,0.0,0.0
Ramón Villeda Morales International Airport,SAP,San Pedro Sula,Honduras,Central America,0.0,0.0
Toncontín International Airport,TGU,Tegucigalpa,Honduras,Central America,0.0,0.0
Comayagua International Airport,XPL,Comayagua,Honduras,Central America,0.0,0.0
Augusto C. Sandino International Airport,MGA,Managua,Nicaragua,Central America,0.0,0.0
Bluefields Airport,BEF,Bluefields,Nicaragua,Central America,0.0,0.0
Corn Island Airport,RNI,Corn Island,Nicaragua,Central America,0.0,0.0
"Bocas del Toro ""Isla Colón"" International Airport",BOC,Bocas del Toro,Panama,Central America,0.0,0.0
Enrique Malek International Airport,DAV,"David, Chiriquí",Panama,Central America,0.0,0.0
"Albrook ""Marcos A. Gelabert"" International Airport",PAC,Panama City,Panama,Central America,0.0,0.0
Scarlett Martínez International Airport,RIH,Rio Hato,Panama,Central America,0.0,0.0
L.F. Wade International Airport,BDA,Hamilton,Bermuda,North America,0.0,0.0
Abbotsford International Airport,YXX,Abbotsford,Canada,North America,0.0,0.0
Lake Simcoe Regional Airport,YLK,Barrie (Oro-Medonte),Canada,North America,0.0,0.0
Calgary International Airport,YYC,Calgary,Canada,North America,51.1315,-114.0106
Charlottetown Airport,YYG,Charlottetown,Canada,North America,0.0,0.0
Deer Lake Regional Airport,YDA,Deer Lake,Canada,North America,0.0,0.0
Edmonton International Airport,YEG,Edmonton,Canada,North America,0.0,0.0
Fredericton International Airport,YFC,Fredericton,Canada,North America,0.0,0.0
Gander International Airport,YQX,Gander,Canada,North America,0.0,0.0
Halifax Stanfield International Airport,YHZ,Halifax (Goffs),Canada,North America,0.0,0.0
John C. Munro Hamilton International Airport,YHM,Hamilton,Canada,North America,0.0,0.0
Kamloops Airport,YKA,Kamloops,Canada,North America,0.0,0.0
Kelowna International Airport,YLW,Kelowna,Canada,North America,0.0,0.0
Kingston Norman Rogers Airport,YGK,Kingston,Canada,North America,0.0,0.0
Region of Waterloo International Airport,YKF,Kitchener,Canada,North America,0.0,0.0
London International Airport,YXU,London,Canada,North America,0.0,0.0
Greater Moncton Roméo LeBlanc International Airport,YQM,Moncton (Dieppe),Canada,North America,0.0,0.0
Montréal–Trudeau International Airport,YUL,Montréal (Dorval),Canada,North America,45.4706,-73.7408
Ottawa Macdonald–Cartier International Airport,YOW,Ottawa,Canada,North America,0.0,0.0
Québec City Jean Lesage International Airport,YQB,Québec City,Canada,North America,0.0,0.0
Regina International Airport,YQR,Regina,Canada,North America,0.0,0.0
Saint John Airport,YSJ,Saint John,Canada,North America,0.0,0.0
St. John's International Airport,YYT,St. John's,Canada,North America,0.0,0.0
JA Douglas McCurdy Sydney Airport,YQY,Sydney,Canada,North America,0.0,0.0
Thunder Bay International Airport,YQT,Thunder Bay,Canada,North America,0.0,0.0
Toronto Pearson International Airport,YYZ,Toronto (Mississauga),Canada,North America,43.6777,-79.6248
Billy Bishop Toronto City Airport,YTZ,Toronto,Canada,North America,0.0,0.0
Vancouver International Airport,YVR,Vancouver (Richmond),Canada,North America,49.1967,-123.1815
Victoria International Airport,YYJ,Victoria (Sidney),Canada,North America,0.0,0.0
Erik Nielsen Whitehorse International Airport,YXY,Whitehorse,Canada,North America,0.0,0.0
Windsor International Airport,YQG,Windsor,Canada,North America,0.0,0.0
Winnipeg James Armstrong Richardson International Airport,YWG,Winnipeg,Canada,North America,0.0,0.0
Kangerlussuaq Airport,SFJ,Kangerlussuaq,Greenland,North America,0.0,0.0
Nuuk Airport,GOH,Nuuk,Greenland,North America,0.0,0.0
Ilulissat Airport,JAV,Ilulissat,Greenland,North America,0.0,0.0
Narsarsuaq Airport,UAK,Narsarsuaq,Greenland,North America,0.0,0.0
Acapulco International Airport,ACA,Acapulco,Mexico,North America,0.0,0.0
Aguascalientes International Airport,AGU,Aguascalientes,Mexico,North America,0.0,0.0
Cancún International Airport,CUN,Cancún,Mexico,North America,0.0,0.0
Chihuahua International Airport,CUU,Chihuahua,Mexico,North America,0.0,0.0
Ciudad del Carmen International Airport,CME,Ciudad del Carmen,Mexico,North America,0.0,0.0
Cozumel International Airport,CZM,Cozumel,Mexico,North America,0.0,0.0
Culiacán International Airport,CUL,Culiacán,Mexico,North America,0.0,0.0
Durango International Airport,DGO,Durango,Mexico,North America,0.0,0.0
Guadalajara International Airport,GDL,Guadalajara,Mexico,North America,0.0,0.0
Hermosillo International Airport,HMO,Hermosillo,Mexico,North America,0.0,0.0
Bahías de Huatulco International Airport,HUX,Huatulco,Mexico,North America,0.0,0.0
Ixtapa-Zihuatanejo International Airport,ZIH,Ixtapa,Mexico,North America,0.0,0.0
León/Bajío International Airport,BJX,León,Mexico,North America,0.0,0.0
Loreto International Airport,LTO,Loreto,Mexico,North America,0.0,0.0
Cabo San Lucas International Airport,CSL,Los Cabos,Mexico,North America,0.0,0.0
Playa de Oro International Airport,ZLO,Manzanillo,Mexico,North America,0.0,0.0
Mazatlán International Airport,MZT,Mazatlán,Mexico,North America,0.0,0.0
Mérida International Airport,MID,Mérida,Mexico,North America,0.0,0.0
Mexicali International Airport,MXL,Mexicali,Mexico,North America,0.0,0.0
Mexico City International Airport,MEX,Mexico City,Mexico,North America,0.0,0.0
Monterrey International Airport,MTY,Monterrey,Mexico,North America,0.0,0.0
Morelia International Airport,MLM,Morelia,Mexico,North America,0.0,0.0
Oaxaca International Airport,OAX,Oaxaca,Mexico,North America,0.0,0.0
Puebla International Airport,PBC,Puebla,Mexico,North America,0.0,0.0
Puerto Escondido International Airport,PXM,Puerto Escondido,Mexico,North America,0.0,0.0
Puerto Vallarta International Airport,PVR,Puerto Vallarta,Mexico,North America,0.0,0.0
Querétaro Intercontinental Airport,QRO,Querétaro,Mexico,North America,0.0,0.0
Reynosa International Airport,REX,Reynosa,Mexico,North America,0.0,0.0
Saltillo International Airport,SLW,Saltillo,Mexico,North America,0.0,0.0
San Luis Potosí International Airport,SLP,San Luis Potosí,Mexico,North America,0.0,0.0
Tampico International Airport,TAM,Tampico,Mexico,North America,0.0,0.0
Tepic International Airport,TPQ,Tepic,Mexico,North America,0.0,0.0
Tijuana International Airport,TIJ,Tijuana,Mexico,North America,0.0,0.0
Toluca International Airport,TLC,Toluca,Mexico,North America,0.0,0.0
Torreón International Airport,TRC,Torreón,Mexico,North America,0.0,0.0
Tulum International Airport,TQO,Tulum,Mexico,North America,0.0,0.0
Uruapan International Airport,UPN,Uruapan,Mexico,North America,0.0,0.0
Tuxtla Gutiérrez International Airport,TGZ,Tuxtla Gutiérrez,Mexico,North America,0.0,0.0
Uruapan International Airport,UPN,Uruapan,Mexico,North America,0.0,0.0
Veracruz International Airport,VER,Veracruz,Mexico,North America,0.0,0.0
Villahermosa International Airport,VSA,Villahermosa,Mexico,North America,0.0,0.0
Zacatecas International Airport,ZCL,Zacatecas,Mexico,North America,0.0,0.0
Saint-Pierre Airport,FSP,Saint-Pierre,Saint Pierre and Miquelon,North America,0.0,0.0
Akron Executive Airport,AKC,Akron,United States,North America,0.0,0.0
Albany International Airport,ALB,Albany,United States,North America,0.0,0.0
Albuquerque International Sunport,ABQ,Albuquerque,United States,North America,0.0,0.0
